SLNO,numPS,namePSe,namePSh,PART_CATEGORY,PART_LAT_LONG,latPS,longPS,acPS
131,131,PRATHMIK VIDYALAYA SARAIMOHANA R.NO.4,प्राथमिक विद्यालय सरायमोहाना क0सं0 4,U,25.378158597577873-83.04624941200017,25.3332233,83.0534667,386
132,132,PRATHMIK VIDYALAYA TATEPUR R.NO. 1,प्राथमिक विद्यालय तातेपुर क0सं0 1,R,25.387958621098225-83.03950265049936,25.38795862,83.03950265,386
133,133,PRATHMIK VIDYALAYA TATEPUR R.NO. 2,प्राथमिक विद्यालय तातेपुर क0सं0 2,R,25.40236081591267-83.03691867738964,25.3392983,83.064185,386
134,134,M.T. PUBLIC HIGHSCHOOL KHALISHPUR R.NO. 1,एम0टी0 पब्लिक हाई स्‍कूल खालिसपुर क0सं0 1,U,25.39447133617793-83.04392594844101,25.3417511,83.0407834,386
135,135,M.T. PUBLIC HIGHSCHOOL KHALISHPUR R.NO. 2,एम0टी0 पब्लिक हाई स्‍कूल खालिसपुर क0सं0 2,U,25.365018963383825-83.05577091872694,25.36501896,83.05577092,386
136,136,M.T. PUBLIC HIGHSCHOOL KHALISHPUR R.NO. 3,एम0टी0 पब्लिक हाई स्‍कूल खालिसपुर क0सं0 3,U,25.364403661220354-83.0581208691001,25.36440366,83.05812087,386
137,137,COMPOSIT VIDYALAYA KOTAWA R.NO. 1,कम्‍पोजिट विद्यालय कोटवा क0सं0 1,U,25.36433034583494-83.05677808821203,25.36433035,83.05677809,386
138,138,COMPOSIT VIDYALAYA KOTAWA R.NO. 2,कम्‍पोजिट विद्यालय कोटवा क0सं0 2,U,25.37369345128684-83.06784823536873,25.34018,83.0518717,386
139,139,COMPOSIT VIDYALAYA KOTAWA R.NO. 3,कम्‍पोजिट विद्यालय कोटवा क0सं0 3,U,25.366574624748075-83.05892955511808,25.36657462,83.05892956,386
140,140,COMPOSIT VIDYALAYA KOTAWA R.NO. 4,कम्‍पोजिट विद्यालय कोटवा क0सं0 4,U,25.360599382278682-83.05577091872694,25.3398428,83.0518579,386
141,141,PRATHMIK VIDYALAYA KAMAULI R.NO. 1,प्राथमिक विद्यालय कमौली क0सं0 1,R,25.35657684132539-83.05644214153291,25.35657684,83.05644214,386
142,142,PRATHMIK VIDYALAYA KAMAULI R.NO. 2,प्राथमिक विद्यालय कमौली क0सं0 2,R,25.35672378443256-83.05174257606268,25.35672378,83.05174258,386
143,143,PRATHMIK VIDYALAYA KAMAULI R.NO. 3,प्राथमिक विद्यालय कमौली क0सं0 3,R,25.334041229930442-83.05278427898884,25.33404123,83.05278428,386
144,144,PRATHMIK VIDYALAYA TARYA R.NO. 1,प्राथमिक विद्यालय तरया क0सं0 1,R,25.334135169849095-83.05313866585493,25.33413517,83.05313867,386
145,145,PRATHMIK VIDYALAYA TARYA R.NO. 2,प्राथमिक विद्यालय तरया क0सं0 2,R,25.33311000866389-83.05300153791903,25.4131726,83.0604416,386
146,146,COMPOSIT VIDYALAYA PURANPATTI,कम्‍पोजिट विद्यालय पूरनपट्टी,R,25.336603036300666-83.05476374924183,25.4207967,83.06027,386
147,147,BHAGAWATI DHAM INTER COLLAGE KHARGIPUR R.NO.-1,भगवती धाम इण्‍टर कालेज खरगीपुर क0सं0 1,R,25.427427516214355-83.06456722319126,25.409005,83.0527732,386
148,148,BHAGAWATI DHAM INTER COLLAGE KHARGIPUR R.NO.-2,भगवती धाम इण्‍टर कालेज खरगीपुर क0सं0 2,R,25.339366902131093-83.06650545448066,25.4101717,83.0522567,386
149,149,PANCHAYAT BHAWAN PIYARI R.NO.1,पंचायत भवन पियरी क0सं0 1,R,25.429387510958236-83.06919101625681,25.4070179,83.0563556,386
150,150,PANCHAYAT BHAWAN PIYARI R.NO.2,पंचायत भवन पियरी क0सं0 2,R,25.344605983348213-83.05017448961735,25.4068433,83.057165,386
151,151,COMPOSIT VIDYALAYA RAMGADHAWA,कम्‍पोजिट विद्यालय रमगढ़वा,R,25.338462690722025-83.04584641009569,25.4264217,83.05212,386
152,152,PRATHMIK VIDYALAYA BIKAPUR,प्राथमिक विद्यालय बीकापुर,R,0.0-0.0,25.4266233,83.0689283,386
153,153,COMPOSIT VIDYALAY PARWATPUR,कम्‍पोजिट विद्यालय पर्वतपुर,R,9.387731558917079E-6-0.0,25.4262389,83.0728808,386
154,154,PRATHMIK VIDYALAYA KHUTAHANA R.NO.1,प्राथमिक विद्यालय खुटहना क0सं0 1,R,0.0-0.0,25.3383898,83.0523521,386
155,155,PRATHMIK VIDYALAYA KHUTAHANA R.NO.2,प्राथमिक विद्यालय खुटहना क0सं0 2,R,25.33839360190487-83.05235110223295,25.437621,83.061092,386
156,156,PRATHMIK VIDYALAYA NARAYANPUR PRATHAM R.NO.1,प्राथमिक विद्यालय नरायनपुर प्रथम क0सं0 1,R,25.34422480163368-83.06893922388552,25.3442248,83.06893922,386
157,157,PRATHMIK VIDYALAYA NARAYANPUR PRATHAM R.NO.2,प्राथमिक विद्यालय नरायनपुर प्रथम क0सं0 2,R,25.344268737584095-83.06896202266218,25.34426874,83.06896202,386
158,158,PRATHMIK VIDYALAYA NARAYANPUR PRATHAM R.NO.3,प्राथमिक विद्यालय नरायनपुर प्रथम क0सं0 3,R,25.344240254969776-83.06900795549153,25.34424025,83.06900796,386
